address,total_gnk,cases
gonka1gyydhl9lp0udz3409ps0c0lk0y4ft8qcyv8tfq,562.251638,Case3b_248
gonka1nkzdygk3g2p2usnueuqxyep3462350hgzxs86s,558.904902,Case3b_248
gonka15rvksn9gxgpszyr8270cd4wj2x3d460r394uv4,552.211430,Case3b_248
gonka1usmu5mfu8vsafvsrsvdutl50vy8kumdhv0j2x9,552.211430,Case3b_248
gonka1psgzz288a434dv6863ldd73xma70zw7387muj2,548.864694,Case3b_248
gonka1ql9asemklpkpr2d4mh33xw5gj0g5tm0v98c5q3,548.864694,Case3b_248
gonka1vcawx5jc2hahydd9sqw30hlxyd9ppupm9ez0yz,542.171223,Case3b_248
gonka1p60lruhxmwcsa9taa28cp4k4f6kv2kvyu5h5ep,534.999150,"Case2,Case3b_248,Case3d_remaining"
gonka10snluhflqhmwl5xrpuy9ugevypxdjjsft370fq,525.437543,Case3b_248
gonka14g78ez2zy08k8sssue483zmfpgd4qut8zcwlqc,522.077665,Case3c_250
gonka1tmk2tzdneht6smu34pkmqdvu7p34qavvmwtwq2,515.397335,Case3b_248
gonka1830lqug50lse998x2lakk4pj5ypfumz5pasz0y,505.691801,Case3b_248
gonka168yvlgt9jg86frg2z90cc8w4pz9hnd7f8lshux,498.998329,Case3b_248
gonka1h2m79scgaq6ultrwge03wjk0ys4whgcejphmql,474.959200,Case4
gonka168rtjfkszuhcggg4dfyse4yh7xn9zwfglnkns2,451.760266,"Case2,Case3d_remaining"
gonka1dkl4mah5erqggvhqkpc8j3qs5tyuetgdy552cp,396.253535,Case3b_248
gonka1d7p03cu2y2yt3vytq9wlfm6tlz0lfhlgv9h82p,365.789060,"Case2,Case3b_248"
gonka1p2lhgng7tcqju7emk989s5fpdr7k2c3ek6h26m,365.789060,"Case2,Case3b_248"
gonka1fvly5jrewyjmjfgwah3khy9rttq4cqajcesv9p,357.960400,Case4
gonka1k6p754pyhxud2399knyccgjpjvdafj2u9xlgyf,329.318817,Case3b_248
gonka1eazh84v0e60s9m7exxp3nsadcfgvnsthgypjvl,311.581116,Case3b_248
gonka1zktn8j65wlys8a8e38hqhf4y3x6m4x04zskkrx,271.309892,Case2
gonka1x7zh2277spp7jfqjhv0g5mnezg290xdr4kpfnk,252.678564,Case3b_248
gonka1vjz8csqsr0ph0lv0yylc4auypnzrld7y6l2feu,233.997500,Case4
gonka1qwfrtz9c7kcrfkrrlne2pkcye74mj6ce33xdkl,220.215225,Case3b_248
gonka1l0qv64xdu3dk2zzm5vk97j0drcmkus95u50gqk,192.771990,Case3b_248
gonka10jjrlvkfkqupgudz0l603sq99y3wkt3urwjm0x,149.599097,Case3b_248
gonka1gyk0aahvr3qeju4zx0nplfreej6cy4jjk8svc5,142.236278,Case3b_248
gonka10t67f5zxh7canhuznxg7cperec6286jjqh5pey,140.897583,Case3b_248
gonka1uf5cg7ef0ns6877nl27y0s6rt06cdmn40k5a88,59.571900,Case3b_248
gonka15sptlamre9vq4m5t7pa7je5r2pc34kmlwvj0jz,23.911954,Case3c_250
